Person_id,Name,Gender,Age,SelfEsteem,Talkative,Adventurous,Passive,Empathy,Personality
127,Person_127,Female,52,4,3,9,8,4,Introvert
128,Person_128,Male,36,10,5,1,5,1,Introvert
129,Person_129,Female,33,10,9,5,9,7,Introvert
130,Person_130,Female,20,3,2,6,5,8,Introvert
131,Person_131,Female,37,10,10,5,9,3,Introvert
132,Person_132,Male,41,1,8,6,10,6,Introvert
133,Person_133,Male,50,8,2,6,4,2,Extrovert
134,Person_134,Male,41,5,5,7,9,7,Introvert
135,Person_135,Male,28,4,7,4,5,8,Extrovert
136,Person_136,Male,25,8,8,8,10,6,Introvert
137,Person_137,Male,53,7,1,7,9,6,Introvert
138,Person_138,Male,55,2,6,9,3,5,Extrovert
139,Person_139,Male,57,1,1,7,4,8,Extrovert
140,Person_140,Male,37,4,2,3,9,1,Introvert
141,Person_141,Female,52,8,1,3,10,10,Introvert
142,Person_142,Male,42,2,5,8,6,4,Introvert
143,Person_143,Female,52,3,10,5,2,4,Extrovert
144,Person_144,Female,42,1,9,4,7,3,Introvert
145,Person_145,Female,46,1,6,8,2,3,Extrovert
146,Person_146,Male,35,3,1,6,2,4,Extrovert
147,Person_147,Male,63,5,1,2,1,1,Extrovert
148,Person_148,Male,35,3,2,4,3,2,Introvert
149,Person_149,Male,19,1,9,4,6,9,Introvert
150,Person_150,Female,52,1,3,6,8,10,Introvert
151,Person_151,Male,33,8,1,6,9,2,Introvert
152,Person_152,Male,58,10,5,1,7,5,Introvert
153,Person_153,Male,53,2,7,8,4,9,Extrovert
154,Person_154,Male,50,3,6,6,6,9,Introvert
155,Person_155,Male,21,2,1,3,5,8,Introvert
156,Person_156,Female,50,3,5,9,8,1,Introvert
157,Person_157,Male,31,7,5,2,1,1,Extrovert
158,Person_158,Female,38,1,6,8,1,9,Extrovert
159,Person_159,Male,37,10,3,10,6,8,Extrovert
160,Person_160,Female,25,8,5,3,10,10,Introvert
161,Person_161,Male,24,10,7,5,2,9,Extrovert
162,Person_162,Male,20,10,5,6,5,7,Extrovert
163,Person_163,Female,34,10,5,10,1,3,Extrovert
164,Person_164,Female,50,2,5,6,7,3,Introvert
165,Person_165,Female,29,3,10,4,1,2,Extrovert
166,Person_166,Male,39,9,10,3,4,5,Extrovert
167,Person_167,Female,39,7,3,4,9,3,Introvert
168,Person_168,Male,63,4,1,1,1,6,Extrovert
169,Person_169,Male,47,10,5,4,4,2,Extrovert
170,Person_170,Female,55,5,9,1,6,3,Introvert
171,Person_171,Female,55,2,1,1,6,5,Introvert
172,Person_172,Male,62,8,3,10,8,1,Introvert
173,Person_173,Male,25,4,4,6,1,1,Extrovert
174,Person_174,Female,44,9,1,5,7,10,Introvert
175,Person_175,Female,44,5,1,4,1,9,Extrovert
176,Person_176,Female,51,9,8,3,7,7,Introvert
177,Person_177,Male,38,4,2,1,3,1,Introvert
178,Person_178,Male,47,10,8,6,8,8,Introvert
179,Person_179,Male,50,5,7,2,3,3,Extrovert
180,Person_180,Male,45,9,10,8,1,8,Extrovert
181,Person_181,Male,64,8,10,10,8,5,Extrovert
182,Person_182,Male,50,3,2,5,3,1,Introvert
183,Person_183,Female,22,1,6,7,2,7,Extrovert
184,Person_184,Male,36,3,6,10,1,5,Extrovert
185,Person_185,Male,21,4,3,2,3,6,Extrovert
186,Person_186,Male,52,2,2,8,2,6,Extrovert
187,Person_187,Female,34,1,1,2,2,8,Extrovert
188,Person_188,Male,61,7,6,4,6,9,Extrovert
189,Person_189,Male,45,8,5,1,1,2,Extrovert
190,Person_190,Female,47,7,9,5,2,9,Extrovert
191,Person_191,Male,46,5,1,9,6,10,Extrovert
192,Person_192,Male,63,1,7,1,3,9,Extrovert
193,Person_193,Male,23,7,5,9,4,10,Extrovert
194,Person_194,Male,52,7,5,8,1,10,Extrovert
195,Person_195,Male,58,9,2,6,8,7,Introvert
196,Person_196,Female,54,3,3,7,7,1,Introvert
197,Person_197,Female,41,9,7,3,7,7,Introvert
198,Person_198,Female,46,1,6,1,3,10,Extrovert
199,Person_199,Male,63,1,2,5,10,5,Introvert
200,Person_200,Male,48,4,6,2,10,6,Introvert
